COURSE;Ville;DATE;Pays;Nom du circuit;taille (km);Race;Circuit;Date
1;Sakhir;05-mars;Bahrain;Bahrain International Circuit;5.412;Bahrain;Bahrain International Circuit;Mar 3-5
2;Djeddah;19-mars;Arabie Saoudite;Jeddah Corniche Circuit;6.174;Saudi_Arabian;Jeddah Corniche Circuit;Mar 17-19
3;Melbourne;02-avr;Australie;Albert Park Circuit;5.278;Australian;Albert Park;Mar 31-Apr 2
4;Bakou;30-avr;Azerbaijan;Baku City Circuit;6.003;Azerbaijan;Baku City Circuit;Apr 28-30
5;Miami;07-mai;Etats-Unis;Miami International Autodrome;5.41;Miami;Miami International Autodrome;May 5-7
6;Monte-Carlo;28-mai;Monaco;Circuit de Monaco;3.337;Monaco;Monaco;May 26-28
7;Barcelone;04-juin;Espagne;Circuit de Barcelona-Catalunya ;4.675;Spanish;Circuit de Catalunya;Jun 2-4
8;Montréal;18-juin;Canada;Circuit Gilles-Villeneuve;4.361;Canadian;Circuit Gilles Villeneuve;Jun 16-18
9;Spielberg;02-juil;Autriche;Red Bull Ring;4.318;Austrian;Red Bull Ring;Jun 30-Jul 2
10;Silverstone;09-juil;Royaume Uni;Silverstone Circuit;5.891;British;Silverstone;Jul 7-9
11;Budapest;23-juil;Hongrie;Hungaroring;4.381;Hungarian;Hungaroring;Jul 21-23
12;Spa-Francorchamps;30-juil;Belgique;Circuit de Spa-Francorchamps;7.004;Belgian;Spa-Francorchamps;Jul 28-30
13;Zandvoort;27-août;Pays-Bas;Circuit Zandvoort;4.259;Dutch;Zandvoort;Aug 25-27
14;Monza;03-sept;Italie;Autodromo Nazionale di Monza;5.793;Italian;Monza;Sep 1-3
15;Marina Bay;17-sept;Singapour;Marina Bay Street Circuit;5.063;Singapore;Singapore;Sep 15-17
16;Suzuka;24-sept;Japon;Suzuka International Racing Course;5.807;Japanese;Suzuka;Sep 22-24
17;Losail;08-oct;Qatar;circuit international de Losail ;5.418;Qatar;Losail International Circuit;Oct 6-8
18;Austin;22-oct;Etats-Unis;Circuit of the Americas;5.513;United_States;Circuit of the Americas;Oct 20-22
19;Mexico;29-oct;Mexique;Autódromo Hermanos Rodríguez;4.304;Mexican;Autodromo Hermanos Rodriguez;Oct 27-29
20;Sao Paulo;05-nov;Brésil;Autódromo José Carlos Pace;4.309;Brazilian;Interlagos;Nov 3-5
21;Las Vegas;18-nov;Etats-Unis;Circuit Silver Las Vegas;6.12;Las_Vegas;Las Vegas Street Circuit;Nov 16-18
22;Yas Marina;26-nov;Emirats Arabes Unis;Yas Marina Circuit;5.281;Abu_Dhabi;Yas Marina;Nov 24-26
